epoch;accuracy;f1;loss
0;0.8981371;0.89695895;0.347669193604816
1;0.89781207;0.89777493;0.34482089981685027
2;0.8978454;0.89780504;0.3427617760985849
3;0.89874536;0.89869344;0.3539864082473117
4;0.8993745;0.8993155;0.3533247988882513
5;0.89838564;0.89830375;0.3535019351724246
6;0.9013577;0.9013048;0.3479199904030258
7;0.90906;0.9090499;0.32923523494725676
8;0.90048414;0.90049964;0.3590716081717967
9;0.898737;0.8986706;0.3596064004901568
0;0.8976635;0.89689106;0.34848496939407675
1;0.9008136;0.90076095;0.33566286809348245
2;0.8959103;0.8958984;0.3532757132172536
3;0.90003806;0.90001494;0.35349623560203575
4;0.9230511;0.92297524;0.2855750144229202
5;0.9063598;0.9063217;0.33381746174738797
6;0.8984467;0.89841956;0.35841599215488934
7;0.9061897;0.90619236;0.33471626877463917
8;0.8965012;0.8965104;0.3680909179562233
9;0.89687127;0.8968881;0.3625370623451307
0;0.84318817;0.84279174;84.85034996443036
1;0.87160337;0.8715446;15.762766294792105
